cod_ine,n_paradas_emt,n_lineas_emt_unicas,n_bocas_metro,n_lineas_metro_unicas,n_comercios,n_monumentos,pct_area_turistica
4625004019,2,3,0,0,0,0,20.03193140862702
4625004020,2,2,0,0,21,0,12.055018168802908
4625004021,3,2,0,0,6,0,26.38295279242512
4625004022,1,5,2,1,2,0,5.333586706000313
4625004023,1,2,0,0,0,0,40.89808476234223
4625004024,4,5,1,1,19,0,0.0
4625004025,6,4,0,0,12,2,32.83439326174189
4625004026,4,5,0,0,4,0,26.48300019837383
4625004027,1,1,0,0,1,0,8.795431982019025
4625004028,2,4,0,0,3,0,3.1009767831148403
4625004029,1,2,0,0,4,0,5.210853268555105
4625004030,1,1,0,0,8,0,6.63082012692327
4625005001,3,7,0,0,0,0,13.288173071238829
4625005002,1,2,1,1,2,0,31.825407177016352
4625005003,0,0,1,1,1,0,0.0
4625005004,2,6,0,0,0,0,4.647397329587564
4625005005,5,4,0,0,2,0,2.730592433287703
4625005006,0,0,0,0,3,0,0.0
4625005007,2,4,0,0,3,0,17.332509179180285
4625005008,1,1,0,0,2,0,5.836768202602763
4625005009,0,0,0,0,2,0,47.572658294360856
4625005010,2,8,0,0,4,1,52.4030860520014
4625005011,2,7,0,0,3,0,45.13960447955351
4625005013,0,0,0,0,1,0,1.478146605709847
4625005014,1,1,0,0,3,1,0.5740322753291606
4625005015,2,3,0,0,4,0,8.784299425834185
4625005016,1,2,0,0,1,0,0.0
4625005017,3,7,1,1,4,3,13.343071687188834
4625005018,2,2,0,0,8,0,0.0
4625005021,1,1,0,0,16,0,0.0
4625005022,1,2,1,2,1,0,0.0
4625005025,9,15,0,0,19,2,57.97152952345436
4625005027,0,0,0,0,10,1,0.0
4625005028,0,0,0,0,7,3,32.440062245277026
4625005029,1,4,0,0,0,0,2.43380955150049
4625005031,1,4,0,0,2,0,0.0
4625005033,1,1,0,0,0,0,0.0
4625005034,0,0,0,0,0,0,13.828671496325482
4625005036,1,3,0,0,0,0,15.521634767060664
4625005037,0,0,1,1,2,0,0.0
4625005038,0,0,0,0,4,0,0.0
4625005039,2,3,0,0,3,0,8.249292743149432
4625005040,0,0,0,0,4,0,0.0
4625005041,1,3,0,0,2,1,0.0
4625005042,2,5,0,0,4,1,2.061712252497663
4625005043,2,5,0,0,1,0,0.0
4625005044,0,0,0,0,4,0,0.0
4625006001,1,8,1,4,14,3,28.898062422115288
4625006002,4,13,0,0,11,1,9.072909850100636
4625006003,0,0,0,0,8,1,0.0
4625006004,4,7,2,2,8,0,2.3852068730523697
4625006006,2,3,0,0,1,1,18.305067014649197
4625006007,6,10,1,4,2,4,19.400556637087583
4625006008,4,10,5,2,8,0,0.6447748658121094
4625006009,2,3,0,0,10,0,0.0
4625006011,1,2,0,0,7,0,0.0
4625006012,6,6,0,0,5,1,24.40910624687509
4625006013,1,2,0,0,4,1,0.0
4625006014,2,5,0,0,15,0,3.415289500731132
4625006015,2,3,0,0,8,0,4.184345489884079
4625006016,1,2,0,0,0,0,0.0
4625006017,1,2,0,0,4,0,0.0
4625006018,1,4,0,0,1,0,0.0
4625006019,2,4,1,4,10,1,0.0
4625006021,0,0,0,0,3,0,0.0
4625006022,1,2,0,0,1,0,0.0
4625006023,2,6,0,0,1,0,7.687665490496369
4625006024,8,12,2,2,5,1,1.367398583773314
4625006026,2,10,0,0,7,0,1.7506781077159643
4625006027,2,6,1,2,3,0,1.4652451931820776
4625007001,0,0,0,0,1,0,0.0
4625007002,0,0,0,0,6,0,0.0
4625007003,5,5,0,0,2,0,45.031831259998114
4625007004,0,0,0,0,0,1,0.0
4625007005,0,0,0,0,3,0,29.241117693766515
4625007006,1,2,0,0,2,0,0.0
4625007007,0,0,0,0,3,0,0.0
4625007008,2,4,0,0,8,0,0.0
4625007009,0,0,0,0,0,0,0.0
4625007010,5,7,0,0,2,0,28.014134340835614
4625007012,1,2,1,3,1,0,0.0
4625007013,0,0,0,0,1,0,0.0
4625007014,0,0,0,0,1,0,0.0
4625007015,0,0,0,0,1,0,0.0
4625007016,1,1,0,0,1,0,0.0
4625007017,0,0,0,0,3,0,0.0
4625007018,1,1,0,0,1,0,1.951182592454102
4625007019,0,0,1,3,5,0,0.2525650509645246
4625007020,1,2,0,0,0,0,0.0135382221703555
4625007021,2,3,0,0,3,0,5.871455561814744
4625007022,0,0,1,3,1,0,12.85901524073783
4625007023,0,0,1,3,0,0,0.0
4625007024,2,6,2,3,1,0,0.0
4625007025,2,5,1,3,0,0,22.005859505470838
4625007026,0,0,0,0,0,1,0.0
4625007027,1,4,0,0,0,0,0.0
4625007030,2,3,1,3,1,0,0.0
4625007031,1,2,0,0,0,0,0.0
4625007032,5,5,0,0,1,1,5.8615901958641965
4625007036,5,5,0,0,2,0,6.217786460687423
4625007037,9,9,0,0,4,1,0.908289673918792
4625007039,4,3,0,0,1,0,2.184138031662576
4625007040,2,1,0,0,4,0,0.0
4625007041,1,1,0,0,3,0,0.0
4625007042,0,0,0,0,3,0,11.5696520365494
4625008001,1,2,0,0,0,0,0.0
4625008002,1,2,0,0,0,0,0.0
4625008003,0,0,0,0,0,0,17.614381005066367
4625008004,3,3,0,0,1,0,0.0
4625008006,1,5,0,0,2,0,0.0
4625008007,2,1,0,0,4,0,0.0
4625008008,2,2,0,0,4,0,0.0
4625008009,1,1,0,0,1,0,0.0
4625008010,2,2,0,0,1,0,0.0
4625008012,0,0,0,0,4,0,36.4841516936254
4625008013,2,3,0,0,5,0,0.0
4625008014,0,0,0,0,0,0,1.8774451476483167
4625008015,0,0,0,0,1,1,0.0
4625008016,1,1,0,0,0,0,0.0
4625008017,0,0,0,0,1,0,0.0
4625008018,2,2,1,3,4,1,17.127140155944765
4625008019,4,2,1,3,2,0,8.907122126168595
4625008020,2,3,0,0,1,0,0.0
4625008021,0,0,0,0,1,1,4.969837967673191
4625008022,1,1,0,0,2,0,9.78521405332417
4625008023,1,2,0,0,1,0,0.0376779091333707
4625008024,7,5,0,0,8,0,0.4569485443115666
4625008025,0,0,0,0,0,0,27.24580860377549
4625008026,1,3,0,0,1,0,2.5836667418759856
4625008027,0,0,0,0,1,0,0.0
4625008028,0,0,0,0,0,0,3.340463653541819
4625008029,2,2,0,0,2,0,0.0
4625008030,1,2,0,0,3,0,2.50986597649372
4625008031,1,2,0,0,5,0,0.0
4625008032,3,3,0,0,20,0,3.4834546225818768
4625008033,2,2,0,0,3,0,0.0
4625008034,2,3,0,0,2,0,0.0
4625008035,2,2,0,0,1,0,13.36486568621608
4625008036,2,3,0,0,0,0,0.4886821757649647
4625008037,1,2,0,0,0,0,13.76263505784976
4625008038,1,1,0,0,1,0,16.125562999739216
4625008039,0,0,0,0,0,0,0.0
4625008040,1,1,0,0,0,0,0.0
4625008041,0,0,0,0,2,0,0.0
4625008042,0,0,0,0,4,0,11.312303667116726
4625009001,3,4,1,3,1,0,16.613467399853153
4625009002,2,4,0,0,2,0,0.0
4625009003,0,0,0,0,3,0,0.0
4625009004,0,0,0,0,0,0,0.0
4625009005,2,2,0,0,0,0,0.0
4625009007,1,1,0,0,2,0,0.0
4625009008,2,2,0,0,2,0,0.0
4625009009,0,0,0,0,1,0,0.0
4625009010,1,3,0,0,4,0,0.0
4625009012,1,2,0,0,3,0,8.606079210180352
4625009013,0,0,0,0,13,0,0.0
4625009015,1,1,1,3,4,0,0.0
4625009016,1,2,0,0,1,0,0.0
4625009017,1,3,0,0,4,0,0.0
4625009018,3,4,0,0,1,0,0.0
4625009019,1,1,0,0,2,0,0.0
4625009020,0,0,0,0,2,0,14.673713640352318
4625009021,1,1,0,0,1,0,4.880278982661734
4625009022,0,0,0,0,11,0,0.0
4625009023,1,1,0,0,14,0,0.0
4625009024,1,1,0,0,14,0,0.0
4625009025,3,3,0,0,0,0,0.0
4625009026,1,2,0,0,1,0,7.033872329296544
4625009028,2,4,0,0,5,0,0.0
4625009029,2,4,0,0,2,0,0.0
4625009030,1,1,0,0,2,0,0.0
4625009031,3,6,0,0,2,0,18.37158958962334
4625009032,1,3,0,0,0,0,0.0
4625009033,0,0,0,0,1,0,0.0
4625009034,1,1,0,0,0,0,0.0
4625009035,2,5,0,0,0,0,0.0
4625009036,0,0,0,0,0,0,0.0
4625009037,0,0,0,0,0,0,0.0
4625009038,3,4,0,0,0,0,2.952678597181686
4625009039,6,5,2,3,1,0,6.12513228987103
4625009040,1,4,0,0,1,0,0.0
4625009041,3,3,1,3,2,0,0.0
4625009042,1,2,0,0,2,0,0.0
4625010001,5,6,0,0,13,1,24.093256290031164
4625010002,2,7,0,0,4,1,2.4307229031206306
4625010003,1,2,0,0,5,0,0.0
4625010004,0,0,0,0,2,0,11.250825002965277
4625010005,3,3,0,0,7,1,17.70086387008219
4625010006,1,2,0,0,1,0,3.3987171060389705
4625010007,0,0,0,0,3,0,0.0
4625010008,1,2,0,0,6,0,0.0
4625010009,1,2,0,0,2,0,0.0
4625010010,3,7,0,0,1,0,26.79654683872899
4625010011,1,3,0,0,2,2,5.2709304641367885
4625010012,1,3,0,0,5,0,0.0
4625010013,1,1,0,0,5,0,0.0
4625010014,1,1,0,0,8,0,16.890689896934514
4625010015,0,0,0,0,9,0,7.088371684828362
4625010016,2,2,0,0,11,1,0.0
4625010017,5,4,0,0,6,0,0.0
4625010018,3,4,0,0,13,0,0.0
4625010019,0,0,0,0,8,0,2.533299096734593
4625010021,0,0,0,0,3,0,0.0
4625010022,2,2,0,0,9,0,0.0
4625010023,0,0,0,0,1,0,0.0
4625010024,1,1,0,0,0,0,0.0
4625010025,1,3,0,0,1,0,0.0
