cod_ine,nodo_red,dist_snap_m
4625008012,11022535378,7.12
4625008013,254902071,45.85
4625008014,13812215662,46.8
4625008015,3316667401,51.88
4625008016,3316667385,19.02
4625008017,3316667393,32.77
4625008018,13458995474,50.75
4625008019,10970557213,39.94
4625008020,11833026863,57.28
4625008021,11694668351,89.56
4625008022,5880167674,35.58
4625008023,255007169,15.4
4625008024,10842188991,31.37
4625008025,1692104822,61.44
4625008026,13341547688,33.38
4625008027,11010587301,19.11
4625008028,1334420845,53.52
4625008029,11012093332,22.15
4625008030,11014067526,20.5
4625008031,10075788136,16.95
4625008032,7031813837,18.72
4625008033,10990441385,56.28
4625008034,62817855,6.21
4625008035,6772318274,4.41
4625008036,255007152,21.13
4625008037,255007153,58.66
4625008038,255007097,65.88
4625008039,11694668337,60.1
4625008040,12175726312,44.38
4625008041,10040479500,5.24
4625008042,13458615132,13.44
4625009001,9235588656,22.95
4625009002,12413138792,38.19
4625009003,112184712,71.02
4625009004,112137641,35.85
4625009005,112137744,20.35
4625009007,112184737,49.69
4625009008,12158045359,29.39
4625009009,8809741992,81.53
4625009010,7036901735,32.48
4625009012,13327876867,65.35
4625009013,105958295,41.19
4625009015,112137877,12.45
4625009016,112137801,81.61
4625009017,11862324562,7.31
4625009018,105958271,73.48
4625009019,128296932,80.78
4625009020,13375682436,12.15
4625009021,7146010481,25.58
4625009022,128296925,30.87
4625009023,1189716210,20.33
4625009024,128296889,7.28
4625009025,255172206,23.27
4625009026,112597171,34.46
4625009028,10902219494,31.57
4625009029,255172142,72.96
4625009030,1169818882,22.18
4625009031,7502997309,6.31
4625009032,255317522,29.71
4625009033,255317507,51.13
4625009034,255317481,49.86
4625009035,11836811759,8.69
4625009036,12175520858,50.22
4625009037,255317489,43.26
4625009038,7232573427,66.01
4625009039,1417354253,41.14
4625009040,10902219423,23.5
4625009041,112137612,52.3
4625009042,6369974907,45.82
4625010001,10887751453,6.57
4625010002,10946347858,33.63
4625010003,10946347887,17.47
4625010004,10959392123,10.88
4625010005,10873391123,4.82
4625010006,10897236396,50.66
4625010007,253815273,87.25
4625010008,10894809683,1.82
4625010009,10894098624,45.17
4625010010,10893564951,78.5
4625010011,10893564641,14.34
4625010012,10873390877,26.02
4625010013,10911331961,25.58
4625010014,111180006,5.66
4625010015,10908424186,28.05
4625010016,2025259075,34.67
4625010017,10879204543,18.61
4625010018,10768650023,38.6
4625010019,10867018005,31.68
4625010021,10867693129,55.96
4625010022,10819976427,37.32
4625010023,10819949840,8.31
4625010024,10902429434,14.25
4625010025,10827156866,4.37
4625010026,6154282856,3.71
4625010027,10829757728,24.23
4625010028,10839542334,53.77
4625010029,7044924862,2.57
4625010030,10923878496,17.53
4625010031,255312202,18.88
4625010032,10766302250,6.28
4625010033,10775176640,20.94
4625010034,7030183540,67.06
4625010035,10769013005,6.53
4625010036,10768876056,26.74
4625010037,10758565371,9.05
4625010039,10853390072,23.53
4625010040,6797632405,8.91
4625010041,4922487199,105.35
4625010043,10807065196,18.94
4625010044,10959625239,29.06
4625010045,10893564957,45.41
4625010046,10867001004,25.14
4625010047,10817080927,45.82
4625010048,10864676223,5.46
4625010049,10902429354,34.64
4625010050,10846209617,15.37
4625010051,5896031414,19.66
4625010052,10804674158,27.09
4625010053,10758654023,7.57
4625010054,7316890169,113.86
4625010055,10858930418,9.15
4625011001,254010773,10.1
4625011002,9212933908,153.32
4625011004,254015117,20.51
4625011005,254015168,8.55
4625011006,10978406254,201.61
4625011008,12640532656,16.31
4625011009,254015133,22.68
4625011011,254020004,23.64
4625011012,10199887001,40.78
4625011015,254020032,24.11
4625011017,254015152,36.46
4625011019,1578314813,27.63
4625011021,254019978,40.76
4625011022,254019995,23.92
4625011024,254020089,2.9
4625011026,254020087,15.83
4625011028,254016432,20.0
4625011030,254015172,41.64
4625011031,254016482,2.39
4625011032,5932951194,59.9
4625011033,1657724469,59.83
4625011034,254524242,39.3
4625011035,254524248,3.43
4625011036,254524258,58.93
4625011037,3635626588,7.73
4625011038,1641931582,7.42
4625011039,13061756034,57.82
4625011040,253318484,15.36
4625011041,253318478,19.42
4625011042,253318503,42.28
4625011044,1635327566,103.2
4625011045,254744495,7.84
4625011046,10911551982,50.75
4625011047,6727504891,15.17
4625011048,10040407222,19.77
4625011050,480794074,37.72
4625011051,11462884081,32.44
4625011052,11557745426,58.02
4625011053,254526022,42.25
4625011054,254010796,44.25
4625011055,12739547010,26.19
4625012001,253488516,37.62
4625012002,253488566,56.45
4625012003,253496592,31.64
4625012006,12400755995,59.77
4625012008,253488564,23.13
4625012009,4000789758,43.17
4625012010,4014270172,23.93
4625012011,253496596,19.1
4625012012,7466383802,26.22
4625012013,3020407139,60.5
4625012014,3447496647,42.6
4625012015,253488403,24.79
4625012016,253488406,51.02
4625012018,252108767,41.75
4625012019,1774851081,52.72
4625012020,252108721,29.7
4625012021,1702469410,21.11
4625012023,11046671318,5.06
4625012024,7021924278,86.59
4625012025,11805785584,9.02
4625012026,253705179,62.41
4625012027,253705198,72.41
4625012028,13201173301,55.53
4625012029,11810210465,108.56
4625012030,253705203,72.09
4625012031,253705201,73.04
4625012032,12400998512,18.1
4625012033,13201149893,27.86
4625012034,252114091,28.06
4625012035,252114083,82.99
4625012036,5914231507,73.32
4625012037,1970264615,51.55
4625012038,1578395155,37.76
4625012039,11559605265,57.04
4625012040,11802644680,5.4
4625012041,10123882133,8.18
4625012042,1870431834,8.53
4625012043,11555357284,17.49
4625012044,7609267934,51.15
4625012045,11810210491,19.33
4625012046,11795389393,5.62
4625012047,11787255684,11.41
4625012048,11793751236,35.75
4625013001,11555357370,53.83
4625013002,1578871858,26.22
4625013003,253488386,18.76
4625013004,430238809,24.08
4625013005,3020371211,15.82
4625013007,11478610343,29.61
4625013008,11466817899,9.47
4625013009,11478610417,19.9
4625013010,11479576637,25.45
4625013011,11476259809,9.87
4625013012,11482569734,35.85
4625013013,4419113880,18.47
4625013014,11379633550,48.7
4625013015,6443885796,31.44
4625013016,4429146859,16.36
4625013017,11465724429,11.51
4625013019,11473103043,42.47
4625013020,11466508902,18.61
4625013021,11465766684,7.63
4625013022,11631035147,20.33
4625013023,11631035145,39.56
4625013024,11631035269,8.64
4625013025,1619634569,27.15
4625013026,11653906705,11.69
4625013027,11525228318,23.36
4625013028,159719609,14.45
4625013029,2612373431,17.13
4625013030,11511861957,19.33
4625014001,11544793718,6.19
4625014002,257843484,14.21
4625014004,2306542487,36.55
4625014005,5683486757,83.44
4625014006,257843534,37.28
4625014007,257843500,27.74
4625014008,257843683,19.58
4625014009,257843605,21.95
4625014010,257843579,19.66
4625014012,257843715,41.38
4625014013,257843725,21.17
4625014014,257843709,45.33
4625014015,257843463,8.02
4625014016,257843714,15.85
4625014018,257847836,25.83
4625014019,257843732,11.47
4625014020,1624649663,95.94
4625014021,429821270,23.13
4625014022,3008657707,59.07
4625014023,141589311,31.95
4625014024,11544793768,22.42
4625015001,11584474607,21.99
4625015002,11581738035,18.88
4625015003,2281497842,26.26
4625015004,11577778708,31.35
4625015005,11577794629,42.26
4625015006,11584662536,44.35
4625015007,11594615309,47.07
4625015008,11594615322,2.64
4625015010,257821363,12.18
4625015011,257821308,47.22
4625015012,11577209868,24.65
4625015013,11865873927,82.27
4625015014,251047553,33.44
4625015015,11579011880,32.72
4625015016,11580403681,24.48
4625015017,11579900266,11.26
4625015018,11579900552,8.93
4625015019,11593093475,30.66
4625015020,252629824,40.24
4625015021,251047050,17.99
4625015022,251048522,50.18
4625015023,11595495739,54.39
4625015024,257608291,76.27
4625015025,2453013142,53.42
4625015026,251048536,24.76
4625015027,11595531623,22.2
4625015028,252629829,28.83
4625015029,13835867389,20.67
4625015030,13358139190,8.89
4625015031,257821316,15.08
4625015032,11595495701,39.55
4625015033,10222040996,4.44
4625015034,257843688,26.32
4625015035,8331446292,46.66
4625015036,257821367,38.7
4625015037,2324942879,49.55
4625015038,1935760001,26.86
4625015039,252629837,18.67
4625015040,257821344,37.21
4625016001,257607922,31.2
4625016002,11712294757,58.42
4625016003,257607924,22.76
4625016004,1636781029,22.61
4625016005,7136290379,26.8
4625016006,1973252960,41.48
4625016008,7020786012,15.42
