cod_ine,coddistrit,pob_total,HVI,FP,wk
4625007015,07,1159,0.71498,0.037234,0.648271
4625007016,07,2002,0.759267,0.087234,0.760606
4625007017,07,2096,0.739926,0.074468,0.716032
4625007018,07,1291,0.767606,0.153594,0.80992
4625007019,07,1648,0.701945,0.110058,0.6585
4625007020,07,1771,0.731518,0.080073,0.702172
4625007021,07,1421,0.703406,0.292653,0.751692
4625007022,07,1483,0.694713,0.198438,0.687902
4625007023,07,795,0.727826,0.0,0.655268
4625007024,07,1458,0.697738,0.177602,0.683581
4625007025,07,1072,0.680037,0.321528,0.719743
4625007026,07,1228,0.658699,0.059953,0.548172
4625007027,07,4019,0.67928,0.116096,0.61665
4625007030,07,1761,0.660444,0.137234,0.589843
4625007031,07,1064,0.775364,0.079248,0.788499
4625007032,07,1247,0.737216,0.344532,0.844231
4625007036,07,1822,0.639834,0.309463,0.634248
4625007037,07,2127,0.674456,0.35213,0.723837
4625007039,07,1389,0.692599,0.208252,0.688573
4625007040,07,1240,0.678957,0.136455,0.62608
4625007041,07,1105,0.773666,0.124469,0.807504
4625007042,07,2311,0.638218,0.229684,0.591596
4625008001,08,1954,0.706772,0.079248,0.652811
4625008002,08,821,0.781727,0.079248,0.801086
4625008003,08,826,0.705001,0.179292,0.698785
4625008004,08,1824,0.696988,0.137234,0.662134
4625008006,08,1086,0.729923,0.188263,0.752521
4625008007,08,1102,0.727044,0.136455,0.721205
4625008008,08,909,0.7317,0.165704,0.74488
4625008009,08,864,0.682028,0.087234,0.607813
4625008010,08,2312,0.665558,0.116483,0.589697
4625008012,08,1373,0.663952,0.30867,0.681565
4625008013,08,2076,0.704192,0.196249,0.70557
4625008014,08,1799,0.724219,0.064808,0.680184
4625008015,08,1035,0.723318,0.097187,0.694414
4625008016,08,784,0.648588,0.05,0.523248
4625008017,08,818,0.727265,0.037234,0.672573
4625008018,08,2239,0.648331,0.403322,0.697474
4625008019,08,2124,0.591462,0.278883,0.523436
4625008020,08,1845,0.653453,0.137234,0.576013
4625008021,08,1435,0.68494,0.206747,0.672678
4625008022,08,1405,0.746574,0.254842,0.818387
4625008023,08,939,0.743456,0.118751,0.744915
4625008024,08,1605,0.699034,0.270355,0.732016
4625008025,08,788,0.658537,0.204863,0.619516
4625008026,08,1518,0.778962,0.215501,0.863
4625008027,08,2223,0.597591,0.037234,0.416053
4625008028,08,742,0.683191,0.090015,0.611489
4625008029,08,2349,0.58164,0.138263,0.434463
4625008030,08,2121,0.631119,0.230707,0.578059
4625008031,08,1785,0.693033,0.175498,0.673233
4625008032,08,1928,0.670654,0.355547,0.718006
4625008033,08,1669,0.782809,0.153717,0.840055
4625008034,08,1605,0.658768,0.159015,0.597299
4625008035,08,2278,0.588083,0.279884,0.517246
4625008036,08,1152,0.789062,0.124398,0.837925
4625008037,08,1410,0.724944,0.244324,0.770397
4625008038,08,1346,0.614403,0.261415,0.560178
4625008039,08,1033,0.744283,0.0,0.687823
4625008040,08,1101,0.714485,0.05,0.653605
4625008041,08,1285,0.727754,0.059015,0.684312
4625008042,08,2419,0.578768,0.240402,0.479294
4625009001,09,1307,0.707725,0.329234,0.778326
4625009002,09,1031,0.789238,0.175112,0.863354
4625009003,09,1157,0.743523,0.074468,0.723148
4625009004,09,1053,0.772754,0.0,0.744144
4625009005,09,2287,0.720271,0.079248,0.679515
4625009007,09,1765,0.774488,0.109015,0.801487
4625009008,09,976,0.77617,0.138263,0.819279
4625009009,09,1889,0.714016,0.037234,0.646364
4625009010,09,1780,0.737318,0.186455,0.766256
4625009012,09,1257,0.729524,0.292444,0.803255
4625009013,09,1932,0.795598,0.141764,0.859443
4625009015,09,1320,0.707016,0.136455,0.681586
4625009016,09,1498,0.792378,0.116483,0.840571
4625009017,09,955,0.638833,0.186455,0.571434
4625009018,09,1871,0.68598,0.153331,0.648318
4625009019,09,1380,0.763478,0.109015,0.779708
4625009020,09,1624,0.73802,0.227763,0.788073
4625009021,09,1836,0.718935,0.195867,0.734546
4625009022,09,1216,0.835931,0.133484,0.935134
4625009023,09,1227,0.853225,0.19547,1.0
4625009024,09,1062,0.737079,0.19547,0.770242
4625009025,09,1434,0.695393,0.1,0.640564
4625009026,09,1772,0.722593,0.24425,0.76571
4625009028,09,1800,0.741526,0.212346,0.787385
4625009029,09,1141,0.677671,0.175112,0.642653
4625009030,09,2029,0.714092,0.109015,0.682013
4625009031,09,1972,0.604926,0.38112,0.600631
4625009032,09,1124,0.706713,0.1,0.662958
4625009033,09,951,0.706036,0.037234,0.630578
4625009034,09,890,0.700759,0.05,0.626452
4625009035,09,1026,0.720146,0.129248,0.703995
4625009036,09,750,0.75697,0.0,0.712921
4625009037,09,968,0.73099,0.0,0.661527
4625009038,09,2264,0.607208,0.200372,0.515757
4625009039,09,1685,0.641289,0.28689,0.625963
4625009040,09,942,0.766374,0.153331,0.807353
4625009041,09,1656,0.735565,0.159015,0.749218
4625009042,09,1353,0.661405,0.138263,0.592253
4625010001,10,2074,0.687262,0.53969,0.841927
4625010002,10,1654,0.705953,0.372,0.795971
4625010003,10,1955,0.722483,0.175498,0.731491
4625010004,10,1296,0.713874,0.212655,0.732837
4625010005,10,1457,0.723315,0.451232,0.8695
4625010006,10,1391,0.742949,0.207315,0.787711
4625010007,10,2123,0.748653,0.074468,0.733296
4625010008,10,1804,0.763703,0.183778,0.817127
4625010009,10,1146,0.770296,0.138263,0.807659
4625010010,10,1134,0.680007,0.391114,0.754098
4625010011,10,935,0.759805,0.366615,0.899837
4625010012,10,835,0.778592,0.196249,0.852747
4625010013,10,1752,0.678123,0.146249,0.629274
4625010014,10,1144,0.702315,0.34489,0.775367
4625010015,10,991,0.754931,0.251872,0.83345
4625010016,10,1402,0.752906,0.272685,0.839737
4625010017,10,1214,0.733604,0.220626,0.775808
