cod_ine,pct_65mas_2023,pct_65mas_2024,pct_65mas_2025
4625005039,24.6471,25.2199,24.4571
4625005040,23.8798,23.9293,24.236
4625005041,19.5225,20.6872,21.1228
4625005042,21.8809,21.6615,20.8284
4625005043,17.289,17.7355,19.2133
4625005044,24.0472,23.0292,23.9756
4625006001,24.8029,25.7225,25.69
4625006002,28.4731,28.3136,28.0982
4625006003,19.8801,19.8276,21.0117
4625006004,23.2894,22.6472,22.3827
4625006006,30.449,30.9465,29.5618
4625006007,20.5283,21.9969,22.6852
4625006008,27.0768,28.1462,28.0526
4625006009,21.1949,21.223,20.9478
4625006011,16.8998,17.3861,17.5399
4625006012,22.6944,21.8695,22.2513
4625006013,21.6274,21.2205,21.4732
4625006014,22.6076,22.6092,22.75
4625006015,21.95,22.4374,23.008
4625006016,24.9703,24.71,25.0855
4625006017,25.6586,25.2703,23.9229
4625006018,27.2291,27.5598,28.6965
4625006019,22.3866,22.9476,22.7848
4625006021,26.8473,27.4969,28.5006
4625006022,26.7839,26.6272,25.3372
4625006023,25.974,25.4772,25.9411
4625006024,23.8614,23.9034,23.9691
4625006026,23.7569,24.7299,25.7432
4625006027,22.5962,23.0171,25.0585
4625007001,23.1276,22.8296,24.0973
4625007002,19.4169,18.8413,18.3715
4625007003,23.5549,23.8128,24.2361
4625007004,22.5245,21.9792,21.0101
4625007005,16.5187,16.184,15.5738
4625007006,19.4492,18.8758,19.102
4625007007,23.8267,23.8264,22.8976
4625007008,24.6396,22.8464,23.586
4625007009,22.3214,21.3435,21.3089
4625007010,20.75,20.8251,20.9716
4625007012,19.3606,18.9502,19.248
4625007013,19.1278,18.7251,20.0195
4625007014,22.5519,21.7765,22.2435
4625007015,16.9894,16.5217,15.8758
4625007016,25.3985,24.4421,23.3766
4625007017,21.9171,21.3282,21.1355
4625007018,25.0413,24.24,23.6251
4625007019,20.7196,19.883,19.9029
4625007020,24.8244,24.8125,24.5624
4625007021,22.0326,21.4491,22.1675
4625007022,24.9819,25.1739,24.9494
4625007023,28.7958,26.8695,25.283
4625007024,16.6667,16.014,16.7353
4625007025,25.0761,23.9024,23.1343
4625007026,14.0474,12.8655,13.355
4625007027,14.8626,13.9321,13.7099
4625007030,14.6471,14.056,13.6854
4625007031,26.9674,25.8185,25.094
4625007032,39.5613,38.2764,39.3745
4625007036,17.8718,17.9648,17.3436
4625007037,17.1087,15.7541,15.0917
4625007039,26.8539,27.4496,27.5738
4625007040,27.7127,27.4665,28.5484
4625007041,24.1996,23.3983,23.1674
4625007042,19.369,19.5343,20.8568
4625008001,21.9957,21.723,21.1873
4625008002,29.8526,28.6061,28.5018
4625008003,24.5443,24.3013,25.0605
4625008004,21.3829,21.3675,21.6557
4625008006,28.6263,28.6528,27.9006
4625008007,24.9546,25.4545,26.7695
4625008008,24.0319,24.1648,23.9824
4625008009,20.9059,21.0526,23.2639
4625008010,14.6567,14.6131,15.1384
4625008012,27.7213,28.1497,28.1136
4625008013,24.6549,25.8481,27.1676
4625008014,26.6215,26.6116,27.2929
4625008015,22.4589,23.4436,23.5749
4625008016,15.8402,16.0462,15.4337
4625008017,23.4568,23.6613,22.2494
4625008018,21.0432,21.8875,23.046
4625008019,16.3038,17.5124,17.2316
4625008020,15.4853,16.7935,18.5908
4625008021,20.3924,20.346,20.3484
4625008022,27.953,27.8653,27.1886
4625008023,25.9698,26.7159,27.0501
4625008024,20.4771,21.474,22.6168
4625008025,25.5668,25.0627,25.5076
4625008026,32.2845,31.7577,31.1594
4625008027,16.5489,15.2881,15.8794
4625008028,30.4575,31.9372,31.6712
4625008029,16.799,15.5225,14.8574
4625008030,20.5379,21.0425,21.9708
4625008031,18.3115,18.3882,18.2633
4625008032,18.5887,19.5481,19.3983
4625008033,29.521,30.2158,31.8155
4625008034,20.403,21.433,22.6791
4625008035,15.2729,15.9947,15.9789
4625008036,37.8261,38.8416,39.4965
4625008037,32.2698,34.2525,35.0355
4625008038,26.4475,27.9508,30.4606
4625008039,25.3616,25.5132,24.5886
4625008040,21.5971,22.0826,21.7075
4625008041,28.4489,28.4252,29.3385
4625008042,12.7801,13.1729,14.4274
4625009001,25.5651,25.9909,26.4728
4625009002,31.1005,31.5942,29.7769
4625009003,23.1846,22.935,22.6448
4625009004,24.3056,23.1579,23.9316
4625009005,14.9161,14.4778,14.8229
4625009007,20.0882,18.638,17.6771
4625009008,21.0251,20.5791,20.082
4625009009,16.1599,16.4384,16.6755
4625009010,19.6491,19.3195,18.5955
4625009012,19.5833,20.1174,19.7295
4625009013,20.1299,18.9947,18.6335
4625009015,12.2777,12.96,12.6515
4625009016,24.948,24.4265,24.4993
4625009017,22.2707,22.508,23.2461
4625009018,15.2406,15.5963,15.9273
4625009019,24.1248,23.663,23.6957
4625009020,24.7073,26.6871,27.9557
4625009021,23.5011,25.5008,27.6144
4625009022,31.2243,31.657,31.3322
4625009023,33.2498,32.4059,32.8443
4625009024,22.9587,23.2361,23.9171
4625009025,19.6625,19.9859,20.3626
4625009026,18.4381,18.4443,18.1716
4625009028,27.4847,29.8883,32.0556
4625009029,24.1558,24.5629,24.9781
4625009030,23.6883,23.9898,23.3613
4625009031,15.8201,16.3147,16.9878
4625009032,16.5094,15.7609,16.0142
4625009033,19.5376,18.3742,17.1399
4625009034,21.9178,21.2085,19.8876
4625009035,34.156,34.4279,35.77
4625009036,35.3642,36.9333,38.1333
4625009037,26.4739,27.1845,25.5165
4625009038,11.0555,11.3342,11.8816
4625009039,18.8024,18.3793,19.2878
4625009040,35.3672,33.2973,32.3779
4625009041,19.8026,18.9124,19.7464
4625009042,20.7575,22.3761,23.2077
4625010001,25.439,24.9877,24.783
4625010002,20.4645,19.3133,18.9843
4625010003,16.6149,16.9057,17.1355
4625010004,22.0728,21.7837,21.9136
4625010005,30.8029,30.0985,29.7872
4625010006,18.3099,17.5953,17.8289
4625010007,19.715,20.0283,19.8775
4625010008,24.3988,23.9453,23.1707
4625010009,22.1489,21.0762,20.1571
4625010010,26.5568,26.4317,27.6896
4625010011,30.4837,29.9136,29.3048
4625010012,29.2743,27.7311,27.5449
4625010013,12.6604,12.5073,13.0708
4625010014,21.2921,21.4092,22.5524
4625010015,22.2793,22.6547,22.5025
4625010016,23.598,23.2507,22.9672
4625010017,21.5889,21.1587,21.0049
4625010018,19.4972,19.4192,20.6769
4625010019,22.2968,21.1695,20.66
4625010021,19.0664,18.539,18.0932
4625010022,23.2452,24.0882,24.2557
4625010023,30.2721,31.0586,31.6797
4625010024,24.417,24.4233,24.9555
4625010025,17.0659,16.1918,16.2347
4625010026,27.7222,28.1075,28.3739
4625010027,30.3797,30.2424,31.1087
4625010028,26.1275,26.3856,26.5589
4625010029,19.8203,19.6696,19.8669
4625010030,17.2024,15.7767,15.3195
4625010031,23.4472,23.1166,23.3068
4625010032,22.638,22.871,23.0679
4625010033,19.4118,18.6985,18.4971
4625010034,21.4984,21.3446,20.6718
4625010035,21.1957,21.1573,21.1404
4625010036,23.2279,22.2923,21.7861
4625010037,24.9771,22.5154,22.2711
4625010039,10.08,3.8697,4.9819
4625010040,18.001,18.8583,19.9185
4625010041,27.8283,27.204,24.5132
4625010043,30.2149,14.926,13.6981
4625010044,21.9887,21.8454,23.1073
4625010045,30.321,30.012,29.862
4625010046,28.8613,27.8761,28.2418
4625010047,24.8623,25.6165,24.9808
4625010048,19.4881,21.1235,21.1781
