cod_ine,n_edificios,pct_anterior_1980,pct_posterior_2010
4625007009,20,95.0,0.0
4625007010,48,75.0,0.0
4625007012,14,85.7143,0.0
4625007013,23,78.2609,8.6957
4625007014,14,92.8571,0.0
4625007015,8,75.0,12.5
4625007016,38,65.7895,2.6316
4625007017,62,70.9677,6.4516
4625007018,45,82.2222,0.0
4625007019,91,90.1099,0.0
4625007020,33,48.4848,0.0
4625007021,22,77.2727,0.0
4625007022,41,80.4878,0.0
4625007023,15,93.3333,0.0
4625007024,48,87.5,2.0833
4625007025,97,97.9381,0.0
4625007026,30,96.6667,0.0
4625007027,56,96.4286,0.0
4625007030,36,100.0,0.0
4625007031,152,100.0,0.0
4625007032,18,83.3333,0.0
4625007036,30,86.6667,0.0
4625007037,40,90.0,0.0
4625007039,25,40.0,4.0
4625007040,25,76.0,0.0
4625007041,25,72.0,8.0
4625007042,32,37.5,0.0
4625008001,54,96.2963,0.0
4625008002,26,84.6154,3.8462
4625008003,8,62.5,0.0
4625008004,41,70.7317,2.439
4625008006,26,73.0769,0.0
4625008007,32,68.75,0.0
4625008008,22,81.8182,0.0
4625008009,33,84.8485,3.0303
4625008010,123,81.3008,4.065
4625008012,20,95.0,0.0
4625008013,30,36.6667,0.0
4625008014,23,65.2174,4.3478
4625008015,54,83.3333,0.0
4625008016,22,90.9091,0.0
4625008017,22,81.8182,0.0
4625008018,42,52.381,4.7619
4625008019,31,41.9355,22.5806
4625008020,21,38.0952,0.0
4625008021,62,79.0323,1.6129
4625008022,20,70.0,0.0
4625008023,16,81.25,0.0
4625008024,110,69.0909,5.4545
4625008025,14,100.0,0.0
4625008026,24,100.0,0.0
4625008027,44,50.0,29.5455
4625008028,13,61.5385,0.0
4625008029,27,29.6296,59.2593
4625008030,15,33.3333,6.6667
4625008031,96,70.8333,2.0833
4625008032,74,72.973,4.0541
4625008033,29,68.9655,6.8966
4625008034,18,38.8889,11.1111
4625008035,24,58.3333,0.0
4625008036,16,81.25,0.0
4625008037,7,28.5714,0.0
4625008038,13,15.3846,0.0
4625008039,16,87.5,0.0
4625008040,25,84.0,4.0
4625008041,21,76.1905,0.0
4625008042,21,19.0476,0.0
4625009001,20,50.0,5.0
4625009002,26,92.3077,0.0
4625009003,33,84.8485,0.0
4625009004,50,76.0,6.0
4625009005,113,71.6814,4.4248
4625009007,45,84.4444,0.0
4625009008,34,94.1176,0.0
4625009009,73,58.9041,5.4795
4625009010,30,86.6667,0.0
4625009012,37,83.7838,2.7027
4625009013,57,85.9649,0.0
4625009015,96,77.0833,0.0
4625009016,96,96.875,1.0417
4625009017,14,78.5714,0.0
4625009018,31,67.7419,0.0
4625009019,26,69.2308,3.8462
4625009020,12,41.6667,0.0
4625009021,13,15.3846,0.0
4625009022,20,85.0,0.0
4625009023,42,92.8571,0.0
4625009024,18,77.7778,0.0
4625009025,54,87.037,0.0
4625009026,61,91.8033,0.0
4625009028,11,63.6364,0.0
4625009029,34,88.2353,0.0
4625009030,36,75.0,0.0
4625009031,27,55.5556,0.0
4625009032,33,87.8788,0.0
4625009033,15,80.0,0.0
4625009034,15,93.3333,0.0
4625009035,3,66.6667,0.0
4625009036,10,100.0,0.0
4625009037,17,100.0,0.0
4625009038,94,89.3617,1.0638
4625009039,66,74.2424,3.0303
4625009040,2,100.0,0.0
4625009041,28,82.1429,0.0
4625009042,12,75.0,0.0
4625010001,41,65.8537,2.439
4625010002,45,77.7778,0.0
4625010003,102,79.4118,0.9804
4625010004,53,73.5849,1.8868
4625010005,30,80.0,0.0
4625010006,54,85.1852,0.0
4625010007,92,84.7826,1.087
4625010008,29,93.1034,0.0
4625010009,33,100.0,0.0
