cod_ine,renta_pc
4625010018,14698.0
4625010019,13608.0
4625010021,11770.0
4625010022,16109.0
4625010023,17089.0
4625010024,13478.0
4625010025,15617.0
4625010026,15507.0
4625010027,15664.0
4625010028,13900.0
4625010029,13020.0
4625010030,12668.0
4625010031,11852.0
4625010032,12719.0
4625010033,9516.0
4625010034,9870.0
4625010035,10093.0
4625010036,9713.0
4625010037,10666.0
4625010039,19320.0
4625010040,21100.0
4625010041,13441.0
4625010043,16384.0
4625010044,13576.0
4625010045,17157.0
4625010046,16796.0
4625010047,15578.0
4625010048,15318.0
4625010049,13988.0
4625010050,13937.0
4625010051,14824.0
4625010052,20558.0
4625010053,18665.0
4625010054,15910.0
4625010055,23190.0
4625011001,12275.0
4625011002,11050.0
4625011004,15943.0
4625011005,14442.0
4625011006,16922.0
4625011008,12611.0
4625011009,16657.0
4625011011,15431.0
4625011012,13329.0
4625011015,16471.0
4625011017,12235.0
4625011019,14936.0
4625011021,14251.0
4625011022,13089.0
4625011024,11938.0
4625011026,12975.0
4625011028,14053.0
4625011030,13690.0
4625011031,14706.0
4625011032,9619.0
4625011033,15394.0
4625011034,15083.0
4625011035,13189.0
4625011036,10982.0
4625011037,10758.0
4625011038,16271.0
4625011039,12614.0
4625011040,17628.0
4625011041,14964.0
4625011042,9110.0
4625011044,10719.0
4625011045,9475.0
4625011046,10997.0
4625011047,10725.0
4625011048,10655.0
4625011050,13634.0
4625011051,17073.0
4625011052,18238.0
4625011053,13871.0
4625011054,14049.0
4625011055,14866.0
4625012001,12739.0
4625012002,14462.0
4625012003,12985.0
4625012006,12451.0
4625012008,15582.0
4625012009,13418.0
4625012010,13055.0
4625012011,13293.0
4625012012,13483.0
4625012013,15014.0
4625012014,13143.0
4625012015,11955.0
4625012016,15852.0
4625012018,15534.0
4625012019,15829.0
4625012020,16491.0
4625012021,14583.0
4625012023,14195.0
4625012024,15660.0
4625012025,15389.0
4625012026,11362.0
4625012027,9839.0
4625012028,13502.0
4625012029,11371.0
4625012030,13195.0
4625012031,13416.0
4625012032,12477.0
4625012033,13693.0
4625012034,15154.0
4625012035,16362.0
4625012036,6823.0
4625012037,23804.0
4625012038,17121.0
4625012039,15181.0
4625012040,16155.0
4625012041,25048.0
4625012042,21966.0
4625012043,15196.0
4625012044,20989.0
4625012045,21585.0
4625012046,22658.0
4625012047,16184.0
4625012048,22688.0
4625013001,15175.0
4625013002,16219.0
4625013003,15620.0
4625013004,12519.0
4625013005,17367.0
4625013007,14078.0
4625013008,15739.0
4625013009,11556.0
4625013010,18902.0
4625013011,18235.0
4625013012,18489.0
4625013013,21169.0
4625013014,19308.0
4625013015,17238.0
4625013016,9886.0
4625013017,14704.0
4625013019,15691.0
4625013020,16926.0
4625013021,19904.0
4625013022,20759.0
4625013023,21448.0
4625013024,19101.0
4625013025,22318.0
4625013026,21624.0
4625013027,20939.0
4625013028,20386.0
4625013029,16849.0
4625013030,15790.0
4625014001,22939.0
4625014002,18415.0
4625014004,17399.0
4625014005,15008.0
4625014006,12475.0
4625014007,13157.0
4625014008,15513.0
4625014009,15114.0
4625014010,14562.0
4625014012,14596.0
4625014013,13600.0
4625014014,17173.0
4625014015,17013.0
4625014016,13781.0
4625014018,16362.0
4625014019,16809.0
4625014020,19919.0
4625014021,26843.0
4625014022,15379.0
4625014023,16803.0
4625014024,20828.0
4625015001,8283.0
4625015002,13847.0
4625015003,13121.0
4625015004,13582.0
4625015005,8776.0
4625015006,10084.0
4625015007,8549.0
4625015008,8111.0
4625015010,9000.0
4625015011,8502.0
4625015012,11681.0
4625015013,11001.0
4625015014,10825.0
4625015015,11320.0
4625015016,11909.0
4625015017,10463.0
4625015018,12443.0
4625015019,11241.0
4625015020,10216.0
4625015021,11846.0
4625015022,11220.0
4625015023,12964.0
4625015024,14467.0
4625015025,10714.0
4625015026,10418.0
4625015027,11873.0
4625015028,15245.0
4625015029,16933.0
4625015030,14814.0
4625015031,13790.0
4625015032,11351.0
4625015033,17834.0
4625015034,19867.0
4625015035,18549.0
4625015036,10400.0
4625015037,20349.0
4625015038,21716.0
4625015039,11356.0
4625015040,22371.0
4625016001,12879.0
4625016002,12445.0
4625016003,11908.0
4625016004,10470.0
4625016005,11953.0
4625016006,11111.0
4625016008,9916.0
4625016009,9066.0
4625016010,12891.0
4625016011,12215.0
4625016012,10901.0
4625016013,10496.0
4625016014,13564.0
4625016015,13013.0
4625016016,13775.0
4625016017,15915.0
4625016018,11838.0
4625016019,22194.0
4625016020,11214.0
4625016021,10046.0
4625016022,9967.0
4625016023,11224.0
4625016024,14579.0
4625016025,12319.0
4625016026,11989.0
4625016027,13999.0
4625016028,20306.0
4625016029,18316.0
4625016030,16507.0
4625016031,16567.0
4625016032,16941.0
4625016033,16927.0
4625017001,14516.0
4625017002,12018.0
4625017003,15379.0
4625017006,21537.0
4625017007,14543.0
4625017008,14543.0
4625018001,12475.0
4625018002,11345.0
4625018003,13031.0
4625018004,15493.0
4625018005,11803.0
4625018006,9911.0
4625018007,13298.0
4625018008,11059.0
4625018009,12897.0
4625018010,11687.0
4625019001,11777.0
4625019002,11959.0
4625019003,13120.0
4625019004,13288.0
4625019005,14726.0
4625019006,15112.0
4625019007,15928.0
4625019008,18655.0
4625019009,14814.0
4625019011,8963.0
4625019012,12363.0
4625019013,12222.0
4625019014,11865.0
4625019015,13936.0
4625019016,19324.0
